Timestamp, X_Position, Y_Position, Z_Position, Q0_Rotation, Q1_Rotation, Q2_Rotation, Q3_Rotation, X_Velocity, Y_Velocity, Z_Velocity, X_Accel, Y_Accel, Z_Accel, Trigger, Grip
2368,0.1730826,0.9639179,0.3139118,-0.3162044,0.05785202,-0.1540927,0.9343037,-0.201275,-0.06803115,0.1093099,0,0,0,False,False
2408,0.1546326,0.9691089,0.3077765,-0.3242582,0.03703082,-0.1564801,0.9322013,-0.2540592,0.1235527,-0.1722111,0,0,0,False,False
2424,0.1320568,0.9760296,0.295527,-0.3534063,0.04780491,-0.08642696,0.9302415,-0.2643377,0.1050871,-0.1583607,0,0,0,False,False
2450,0.1271972,0.9769312,0.2926659,-0.3378402,0.04821286,-0.08121303,0.9364529,-0.2297495,0.05982704,-0.1208395,0,0,0,False,False
2472,0.1256005,0.9768167,0.290053,-0.3300283,0.03788862,-0.08842078,0.9390568,-0.1822506,0.03038933,-0.1046989,0,0,0,False,False
2485,0.1263259,0.976467,0.2877612,-0.3316816,0.0413556,-0.09576576,0.9376065,-0.1354802,0.01995255,-0.1145049,0,0,0,False,False
2509,0.1289728,0.975959,0.2880436,-0.3324262,0.04615306,-0.1038915,0.9362528,-0.08250085,0.006990075,-0.1085675,0,0,0,False,False
2524,0.1279031,0.975917,0.2866251,-0.3161372,0.04676672,-0.1095816,0.9412025,-0.06542947,-0.01680838,-0.07431486,0,0,0,False,False
2535,0.128604,0.9756113,0.288048,-0.3076514,0.0415841,-0.112254,0.9439388,-0.06281975,-0.03361501,-0.04401647,0,0,0,False,False
2553,0.1270696,0.9755642,0.2870261,-0.2964412,0.03322347,-0.1133705,0.9477162,-0.07177247,-0.03680594,-0.03044864,0,0,0,False,False
2567,0.1264153,0.9760363,0.2872045,-0.2866186,0.02533672,-0.1158072,0.9506822,-0.07768556,-0.03734596,-0.01297675,0,0,0,False,False
2582,0.1264314,0.9765264,0.2873991,-0.2754631,0.01645904,-0.1247177,0.953045,-0.07378344,-0.03860667,0.0009126123,0,0,0,False,False
2612,0.1269077,0.9773598,0.2873289,-0.2680121,0.008519632,-0.1357576,0.9537646,-0.06181912,-0.02952348,0.004943509,0,0,0,False,False
2626,0.1276014,0.9794798,0.2872417,-0.2649644,0.005805485,-0.1439923,0.9534287,-0.04182028,0.003659949,0.006142866,0,0,0,False,False
2639,0.1272349,0.9818036,0.2868251,-0.2534426,-0.003961884,-0.1536558,0.9550608,-0.04528188,0.01965926,0.006325491,0,0,0,False,False
2655,0.1267982,0.9837276,0.2868284,-0.24693,-0.008950477,-0.1572918,0.9561406,-0.05080509,0.0341856,0.009532539,0,0,0,False,False
2669,0.1260616,0.9856488,0.2863649,-0.2451639,-0.01273174,-0.1579913,0.9564368,-0.05753516,0.05265761,0.002140509,0,0,0,False,False
2683,0.1251409,0.9878049,0.2854837,-0.2461362,-0.01564941,-0.1565303,0.956384,-0.06498589,0.07322963,-0.01132004,0,0,0,False,False
2696,0.1241513,0.9900642,0.2843616,-0.2458806,-0.01732221,-0.154346,0.9567758,-0.07066531,0.08893743,-0.02459064,0,0,0,False,False
2720,0.1232664,0.992303,0.2826254,-0.2486629,-0.02052904,-0.1527034,0.9562567,-0.07512976,0.1059598,-0.04605697,0,0,0,False,False
2739,0.1228446,0.9949161,0.2787627,-0.260197,-0.02354515,-0.151515,0.9533029,-0.07017232,0.1375732,-0.1036192,0,0,0,False,False
2754,0.1219017,0.9986355,0.2744941,-0.2655836,-0.02806687,-0.1530685,0.951445,-0.06185489,0.1420128,-0.1254747,0,0,0,False,False
2768,0.1216513,1.000089,0.2714528,-0.2681807,-0.02824941,-0.1516801,0.9509333,-0.0549543,0.1361853,-0.14377,0,0,0,False,False
2781,0.1213047,1.001223,0.2679249,-0.2720324,-0.03123387,-0.1476642,0.9503779,-0.05636359,0.1286322,-0.166356,0,0,0,False,False
2795,0.1208309,1.002071,0.2643181,-0.273438,-0.03430412,-0.1407222,0.9509218,-0.0609168,0.1153543,-0.1838605,0,0,0,False,False
