Timestamp, X_Position, Y_Position, Z_Position, Q0_Rotation, Q1_Rotation, Q2_Rotation, Q3_Rotation, X_Velocity, Y_Velocity, Z_Velocity, X_Accel, Y_Accel, Z_Accel, Trigger, Grip
2368,-0.11637,0.9599406,0.2707633,-0.4045033,-0.004678793,0.07978301,0.9110378,-0.02455896,0.002475784,-0.02260114,0,0,0,False,False
2408,-0.1041,0.9588982,0.275974,-0.4021188,-0.03998522,0.04468368,0.913622,0.09467098,-0.05916835,0.1907075,0,0,0,False,False
2424,-0.09865957,0.9566661,0.2886527,-0.3626653,-0.04908742,0.04761956,0.9294066,0.03988093,-0.07039241,0.1819218,0,0,0,False,False
2450,-0.1029561,0.9578776,0.2903638,-0.3449562,-0.02202132,0.1015783,0.9328462,-0.01967145,-0.06163754,0.1688181,0,0,0,False,False
2472,-0.1050974,0.9595483,0.2925946,-0.3336247,-0.03518937,0.1235535,0.9339116,-0.06474579,-0.04740028,0.1560412,0,0,0,False,False
2485,-0.1056188,0.9605888,0.2939103,-0.3315536,-0.05190125,0.1238053,0.9338366,-0.08396955,-0.03784446,0.149558,0,0,0,False,False
2509,-0.1046747,0.9616041,0.2943203,-0.3413803,-0.06155777,0.1082454,0.93164,-0.08644162,-0.01655694,0.1517612,0,0,0,False,False
2524,-0.1045726,0.9629273,0.2999167,-0.3344497,-0.07283027,0.1108942,0.9330282,-0.07201544,-0.007351087,0.1768126,0,0,0,False,False
2535,-0.103099,0.9640148,0.3024474,-0.3309495,-0.06824966,0.1091567,0.9348258,-0.0428665,0.00330954,0.2257798,0,0,0,False,False
2553,-0.1000285,0.9673889,0.3128233,-0.3138144,-0.05705456,0.1168686,0.9405355,0.02383745,0.02262443,0.3022763,0,0,0,False,False
2567,-0.09742615,0.971431,0.3216565,-0.3003451,-0.06618676,0.1211489,0.9437876,0.03691374,0.04880843,0.3766004,0,0,0,False,False
2582,-0.09466946,0.9775773,0.3321769,-0.2880008,-0.07180732,0.1433109,0.9441193,0.05198557,0.09763585,0.4583798,0,0,0,False,False
2611,-0.09049499,0.9854149,0.3446712,-0.2735982,-0.04370496,0.1732198,0.9451079,0.1304471,0.1673728,0.5579194,0,0,0,False,False
2626,-0.0845916,0.9936674,0.3593566,-0.2674317,-0.01738896,0.186482,0.9451997,0.2249607,0.2508168,0.668907,0,0,0,False,False
2639,-0.07498124,1.005625,0.3822967,-0.2552463,-0.007754005,0.1777254,0.9503699,0.2894927,0.3035707,0.7366192,0,0,0,False,False
2655,-0.0660323,1.013621,0.3974693,-0.2392048,-0.01210349,0.1458148,0.9598815,0.3644731,0.3311861,0.8157023,0,0,0,False,False
2669,-0.05687544,1.020433,0.4119214,-0.2172281,-0.0006540132,0.1218102,0.9684905,0.4489456,0.3303021,0.8712025,0,0,0,False,False
2683,-0.04791477,1.026615,0.424784,-0.2041381,0.02246507,0.1010205,0.9734567,0.5280682,0.3332495,0.8849754,0,0,0,False,False
2696,-0.04128491,1.032416,0.4353034,-0.213642,0.03708488,0.08978746,0.97207,0.540322,0.363295,0.8503538,0,0,0,False,False
2720,-0.03675039,1.037131,0.4444428,-0.2388348,0.03872858,0.09089412,0.9660209,0.4955647,0.3947981,0.7953095,0,0,0,False,False
2739,-0.03409947,1.036993,0.4530679,-0.2714277,0.007686194,0.08990777,0.9582195,0.3732245,0.346141,0.7359296,0,0,0,False,False
2754,-0.02249139,1.040669,0.4749185,-0.2766516,0.003982375,0.06362867,0.9588532,0.3978537,0.2663712,0.7515854,0,0,0,False,False
2768,-0.01382951,1.038458,0.4874513,-0.2560003,0.02615632,0.04212788,0.965404,0.4863466,0.1510624,0.7988129,0,0,0,False,False
2781,-0.005851966,1.03526,0.4996535,-0.2230955,0.04787489,0.01682239,0.9734749,0.5429428,0.02171847,0.8337037,0,0,0,False,False
2795,-0.0006237398,1.031789,0.5104342,-0.1935743,0.05560481,0.002188646,0.9795062,0.5222943,-0.08050229,0.8355244,0,0,0,False,False
2810,0.002203272,1.028571,0.5198258,-0.1729077,0.05973865,0.002979479,0.9831202,0.4631356,-0.1431045,0.8115659,0,0,0,False,False
2823,0.003500002,1.026017,0.5278929,-0.1628003,0.04766728,0.002143638,0.9855046,0.3717223,-0.1659302,0.7732907,0,0,0,False,False
2836,0.002359112,1.023727,0.53329,-0.1604688,0.01782497,0.001088386,0.9868793,0.2379255,-0.1679233,0.7018941,0,0,0,False,False
2850,0.002300077,1.022563,0.5383298,-0.1518376,0.006826472,0.002585,0.9883785,0.173993,-0.1645696,0.6385395,0,0,0,False,False
2864,0.001345567,1.022677,0.540082,-0.1422449,0.01328409,0.01584771,0.9896155,0.1354141,-0.145717,0.5419542,0,0,0,False,False
2878,-0.0001448755,1.024099,0.5393319,-0.1397021,0.01878745,0.03501489,0.9893959,0.09246479,-0.0996445,0.4234386,0,0,0,False,False
